fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
63;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007009P;"009P";1108666.68079019;"4002";SAWAH/PERUM;"-";"11, 11, 11, 11, 11, 11, 11, 11, 11, 11";"11";;;;;;;;;1
64;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007013P;"013P";322988.970199237;"0006";RT 006 RW 002 DUSUN KARANG TENGAH;"-";"11";"11";;;;;;;;;1
65;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007012B;"012B";267840.797556831;"0001";RT 001 RW 001 DUSUN KRAJAN;"-";"1, 1, 1, 1";"1";;;;;;;;;1
66;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007023P;"023P";12733.3841319533;"0003";RT 003 RW 001 DUSUN KRAJAN;"-";"11";"11";;;;;;;;;1
67;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007020B;"020B";150008.702413376;"0004";RT 004 RW 001 DUSUN KRAJAN;"-";"1, 1, 1";"1";;;;;;;;;1
68;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007011P;"011P";1025011.59246113;"1005";SAWAH;"-";"11";"11";;;;;;;;;2
69;"32";"15";"051";"007";DARAWOLONG;PURWASARI;KARAWANG;JAWA BARAT;"3215051007";"3215051";"0  ";sp2020;3215051007027P;"027P";584381.530353633;"1006";SAWAH;"-";"11";"11";;;;;;;;;1
70;"32";"15";"060";"003";KARANGJAYA;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060003";"3215060";"0  ";sp2020;3215060003003B;"003B";377442.823835514;"0010";RT 002 RW 004 DUSUN II;"-";"1, 1, 1";"1";;;;;;;;;1
71;"32";"15";"060";"003";KARANGJAYA;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060003";"3215060";"0  ";sp2020;3215060003002B;"002B";558625.677545346;"0008";RT 002 RW 003 DUSUN II;"-";"1, 1";"1";;;;;;;;;1
72;"32";"15";"060";"003";KARANGJAYA;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060003";"3215060";"0  ";sp2020;3215060003005B;"005B";150752.128523817;"0011";RT 001 RW 005 DUSUN II;"-";"1, 1, 1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
73;"32";"15";"060";"003";KARANGJAYA;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060003";"3215060";"0  ";sp2020;3215060003006B;"006B";572480.186824658;"0002  ,  0003";"RT 002 RW 001 DUSUN I  ,  RT 003 RW 001 DUSUN I";"-";"1,1";"1";;;;;;;;;1
74;"32";"15";"060";"005";CITARIK;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060005";"3215060";"0  ";sp2020;3215060005008B;"008B";149063.553222088;"0005";RT 001 RW 002 DUSUN I;"-";"1, 1, 1";"1";;;;;;;;;1
75;"32";"15";"060";"004";PARAKANMULYA;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060004";"3215060";"0  ";sp2020;3215060004001B;"001B";62321.1807797652;"0004";RT 002 RW 002 DUSUN PASIR RESIK I;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
76;"32";"15";"060";"006";TIRTASARI;TIRTAMULYA;KARAWANG;JAWA BARAT;"3215060006";"3215060";"0  ";sp2020;3215060006018B;"018B";240212.597444662;"0002";RT 002 RW 001 DUSUN KIARALAWANG;"-";"1, 1, 1";"1";;;;;;;;;1
